day,open,close,high,low,volume
07-26-2022,42.91,43.67,43.67,42.81,94107
07-25-2022,42.53,42.91,43.17,42.15,205742
07-22-2022,42.58,42.54,42.89,41.99,50176
07-21-2022,41.17,42.52,42.52,40.89,60550
07-20-2022,40.98,41.25,41.49,40.67,64857
07-19-2022,40.13,41.11,41.21,40.13,73122
07-18-2022,40.85,39.6,41.01,39.44,47827
07-15-2022,39.98,40.39,40.87,39.68,65794
07-14-2022,38.55,39.32,39.69,38.45,60351
07-13-2022,39,39.08,39.34,38.68,70223
07-12-2022,39.25,39.17,39.76,39.09,66147
07-11-2022,39.79,39.37,40.1,39.25,47080
07-08-2022,39.9,39.98,40.18,39.58,49999
07-07-2022,39.74,39.94,40.35,39.74,56287
07-06-2022,40.08,39.54,40.22,39.2,72082
07-05-2022,39.76,39.93,40.01,38.95,76570
07-01-2022,39.42,40.23,40.31,39.34,72500
06-30-2022,38.52,39.65,39.65,37.83,155016
06-29-2022,39.43,39.01,39.43,38.72,117069
06-28-2022,40.07,39.34,40.63,39.32,146112
06-27-2022,39.61,39.81,39.98,38.63,127241